abbrev,name
AME,Americans Elect
AMR,American Party
AO,All Others
CON,Conservative
CST,Constitution
DEM,Democrat
DCG,DC Statehood Green
IGR,Independent Green
GRN,Green
GRP,Grass Roots
IND,Independent
IAP,Independent American
IPH,Independent Party Of Hawaii
INP,Independence
IP,Independent Party
LIB,Libertarian
LAB,Labor
LUN,Liberty Union
MNT,Mountain Party
MOD,Moderate
NPD,No Party Designation
NPA,No Party Affiliation
NLP,Natural Law
NO,No
NP,NON PARTISAN
PEC,Petitioning Candidate
PFP,Peace & Freedom
PRG,Progressive
PAG,Pacific Green
GOP,Republican
RP,Reform
UST,U.S. Taxpayers
UCZ,United Citizens
UNI,United Independent
UNA,Unaffiliated
UTY,Unity
WF,Working Families
YES,Yes
